PLAYER_NAME,GOALS,SHOT_ACCURACY
Lindiwe Molefe,114,84.9
Mandla Baloyi,4,84.9
Nomsa Molefe,1,84.9
Thembi Mashaba,4,84.8
Thabo Phiri,105,84.7
Sipho Baloyi,91,84.6
Sibusiso Radebe,36,84.5
Mpho Hlongwane,6,84.4
Sipho Mabaso,4,84.1
Nomsa Mthembu,5,84.0
Zanele Zulu,82,84.0
Karabo Hlongwane,3,83.7
Siyanda Dlamini,9,83.7
Lerato Sithole,91,83.5
Gugu Molefe,7,83.2
Karabo Tshabalala,106,83.1
Zanele Mokoena,3,83.0
Nomsa Hlongwane,6,82.9
Kagiso Molefe,71,82.8
Siyanda Radebe,6,82.7
Thembi Mokoena,90,82.5
Sibusiso Baloyi,75,82.4
Zanele Tshabalala,3,82.4
Boitumelo Mabaso,8,82.3
Sipho Khumalo,0,82.3
Khanyi Tshabalala,3,82.2
Mpho Radebe,92,82.0
Mandla Mabena,98,81.8
Gugu Mokoena,19,81.7
Gugu Tshabalala,57,81.7
Khanyi Phiri,5,81.6
Sipho Mabena,0,81.5
Kagiso Mokoena,7,81.5
Mandla Mahlangu,13,81.5
Mpho Zulu,67,81.3
Lebogang Mashaba,5,81.1
Gugu Hlongwane,98,81.1
Thembi Mthembu,10,81.0
Kagiso Mabaso,3,80.9
Lebogang Tshabalala,48,80.9
Mpho Mahlangu,97,80.8
Nomsa Zulu,2,80.8
Nokuthula Ngobeni,86,80.8
Thembi Tshabalala,55,80.7
Thabo Sithole,14,80.6
Zanele Phiri,55,80.5
Nomsa Ndlovu,5,80.5
Khanyi Nkosi,75,80.1
Siyanda Molefe,47,80.1
Gugu Mabena,4,80.0
Nomsa Mashaba,90,80.0
Khanyi Ndlovu,9,79.9
Kabelo Mabena,12,79.8
Vusi Hlongwane,3,79.7
Karabo Mokoena,3,79.7
Mandla Khumalo,9,79.5
Kabelo Mahlangu,6,79.1
Vusi Molefe,99,79.0
Sipho Mabaso,6,79.0
Lebogang Mashaba,35,78.9
Karabo Mthembu,0,78.9
Khanyi Baloyi,112,78.8
Ayanda Mokoena,105,78.7
Thembi Phiri,102,78.6
Boitumelo Nkosi,96,78.3
Ayanda Zulu,2,78.2
Thabo Khumalo,4,77.9
Nomsa Khumalo,82,77.8
Lebogang Sithole,7,77.8
Sibusiso Dlamini,23,77.8
Thembi Zulu,4,77.7
Lerato Tshabalala,2,77.4
Kagiso Mthembu,10,77.3
Khanyi Ndlovu,58,77.0
Khanyi Baloyi,2,77.0
Sibusiso Radebe,3,77.0
Karabo Nkosi,72,76.9
Kabelo Nkosi,5,76.9
Tumelo Mthembu,19,76.9
Gugu Mokoena,44,76.8
Karabo Sithole,7,76.7
