PLAYER_NAME,GOALS,MATCHES_PLAYED,GOALS_PER_MATCH
Thembi Zulu,72,3,24.000000
Thabo Mthembu,88,5,17.600000
Gugu Tshabalala,57,9,6.333333
Lindiwe Mabaso,67,13,5.153846
Mpho Zulu,5,1,5.000000
Sipho Tshabalala,110,26,4.230769
Boitumelo Nkosi,96,25,3.840000
Karabo Tshabalala,106,30,3.533333
Lindiwe Zulu,34,11,3.090909
Sipho Phiri,91,33,2.757576
Sipho Dlamini,43,22,1.954545
Ayanda Sithole,107,60,1.783333
Nomsa Mashaba,90,58,1.551724
Thabo Ndlovu,60,40,1.500000
Sibusiso Mabaso,104,78,1.333333
Thabo Sithole,98,76,1.289474
Thembi Dlamini,77,63,1.222222
Kagiso Phiri,117,101,1.158416
Mpho Radebe,92,83,1.108434
Gugu Dlamini,65,59,1.101695
Thembi Mokoena,90,86,1.046512
Kagiso Mashaba,64,62,1.032258
Gugu Tshabalala,91,108,0.842593
Sibusiso Ndlovu,25,30,0.833333
Ayanda Sithole,29,35,0.828571
Vusi Radebe,112,142,0.788732
Sipho Baloyi,91,116,0.784483
Lindiwe Molefe,114,166,0.686747
Mandla Baloyi,89,131,0.679389
Mpho Zulu,67,101,0.663366
Vusi Radebe,71,110,0.645455
Vusi Radebe,102,160,0.637500
Sibusiso Tshabalala,91,146,0.623288
Khanyi Radebe,10,17,0.588235
Sibusiso Ngobeni,82,145,0.565517
Thembi Ndlovu,61,109,0.559633
Kagiso Dlamini,111,201,0.552239
Lindiwe Mokoena,68,128,0.531250
Siyanda Baloyi,57,109,0.522936
Nomsa Tshabalala,86,165,0.521212
Zanele Molefe,116,232,0.500000
Lindiwe Radebe,113,233,0.484979
Khanyi Baloyi,112,231,0.484848
Zanele Phiri,117,249,0.469880
Nokuthula Mthembu,114,247,0.461538
Tumelo Molefe,75,164,0.457317
Karabo Phiri,114,259,0.440154
Ayanda Sithole,110,255,0.431373
Lindiwe Tshabalala,8,19,0.421053
Kabelo Phiri,43,103,0.417476
Kagiso Phiri,84,202,0.415842
Thabo Phiri,105,259,0.405405
Vusi Mthembu,82,205,0.400000
Khanyi Dlamini,10,25,0.400000
Nokuthula Ngobeni,86,216,0.398148
Vusi Khumalo,59,149,0.395973
Nokuthula Mabena,114,290,0.393103
Lebogang Tshabalala,48,124,0.387097
Thabo Sithole,68,180,0.377778
Lebogang Molefe,23,61,0.377049
Karabo Hlongwane,3,8,0.375000
Lindiwe Radebe,3,8,0.375000
Nomsa Khumalo,82,224,0.366071
Mpho Mahlangu,97,268,0.361940
Ayanda Molefe,77,213,0.361502
Thabo Ndlovu,98,272,0.360294
Sibusiso Mokoena,65,183,0.355191
Vusi Mabena,113,323,0.349845
Gugu Mahlangu,106,303,0.349835
Khanyi Nkosi,92,270,0.340741
Karabo Nkosi,72,216,0.333333
Siyanda Mahlangu,6,18,0.333333
Lerato Sithole,91,275,0.330909
Siyanda Mabena,118,357,0.330532
Nokuthula Dlamini,109,330,0.330303
Gugu Mokoena,44,136,0.323529
Tumelo Mthembu,19,59,0.322034
Lerato Mashaba,77,241,0.319502
Gugu Hlongwane,98,307,0.319218
Ayanda Mokoena,105,329,0.319149
Lebogang Phiri,90,292,0.308219
Khanyi Ndlovu,58,192,0.302083
Sibusiso Baloyi,75,251,0.298805
Zanele Mabaso,106,359,0.295265
Zanele Zulu,82,281,0.291815
Sipho Mashaba,47,162,0.290123
Siyanda Molefe,47,163,0.288344
Mandla Baloyi,73,254,0.287402
Zanele Ndlovu,64,230,0.278261
Kagiso Zulu,89,327,0.272171
Tumelo Ngobeni,4,15,0.266667
Sibusiso Hlongwane,42,158,0.265823
Thembi Phiri,102,384,0.265625
Lindiwe Phiri,57,218,0.261468
Zanele Phiri,55,211,0.260664
Kagiso Molefe,71,275,0.258182
Lindiwe Zulu,58,230,0.252174
Vusi Molefe,99,398,0.248744
Nomsa Mahlangu,80,322,0.248447
Mandla Mabena,98,398,0.246231
Khanyi Nkosi,75,316,0.237342
Nomsa Zulu,81,343,0.236152
Kagiso Phiri,41,175,0.234286
Tumelo Ngobeni,32,137,0.233577
Nokuthula Mabena,7,30,0.233333
Karabo Hlongwane,43,185,0.232432
Kabelo Phiri,43,185,0.232432
Gugu Mashaba,35,154,0.227273
Tumelo Khumalo,39,177,0.220339
Khanyi Ngobeni,29,142,0.204225
Thabo Mthembu,22,108,0.203704
Karabo Phiri,72,356,0.202247
Nokuthula Ndlovu,9,46,0.195652
Ayanda Khumalo,59,303,0.194719
Lerato Mabena,62,322,0.192547
Sipho Nkosi,33,172,0.191860
Tumelo Khumalo,48,252,0.190476
Mandla Mahlangu,4,22,0.181818
Kagiso Molefe,5,28,0.178571
Lerato Mabaso,29,165,0.175758
Tumelo Dlamini,9,53,0.169811
Siyanda Dlamini,9,53,0.169811
Nomsa Molefe,56,336,0.166667
Karabo Molefe,58,351,0.165242
Lebogang Mashaba,35,225,0.155556
Thembi Tshabalala,55,358,0.153631
Lebogang Phiri,12,81,0.148148
Siyanda Mabaso,47,319,0.147335
Thabo Mashaba,7,48,0.145833
Sibusiso Molefe,48,349,0.137536
Lindiwe Mabena,53,397,0.133501
Thabo Mabena,40,300,0.133333
Kabelo Mahlangu,6,45,0.133333
Gugu Mokoena,19,149,0.127517
Lindiwe Radebe,18,143,0.125874
Kagiso Baloyi,10,81,0.123457
Nomsa Tshabalala,21,171,0.122807
Lebogang Zulu,37,304,0.121711
Ayanda Molefe,26,221,0.117647
Kagiso Mabaso,3,26,0.115385
Khanyi Ndlovu,9,83,0.108434
Sibusiso Radebe,36,335,0.107463
Nomsa Mthembu,5,47,0.106383
Karabo Zulu,23,220,0.104545
Lebogang Mashaba,5,48,0.104167
Siyanda Baloyi,25,243,0.102881
Boitumelo Mabaso,8,80,0.100000
Kagiso Tshabalala,36,375,0.096000
Karabo Phiri,28,303,0.092409
Nomsa Dlamini,22,251,0.087649
Lebogang Mahlangu,7,95,0.073684
Lerato Dlamini,13,177,0.073446
Mandla Sithole,9,124,0.072581
Thembi Dlamini,24,341,0.070381
Sibusiso Dlamini,23,336,0.068452
